time,V(1),V(2),V(3),I(V1),I(R1),I(L1),I(C1)
1.260000e-04,1.000000e+00,1.121476e+00,1.434725e+00,1.214756e-02,-1.214756e-02,-1.214756e-02,2.881276e+00
1.270000e-04,1.000000e+00,1.124531e+00,1.422424e+00,1.245313e-02,-1.245313e-02,-1.245313e-02,2.856996e+00
1.280000e-04,1.000000e+00,1.127433e+00,1.409826e+00,1.274328e-02,-1.274328e-02,-1.274328e-02,2.832106e+00
1.290000e-04,1.000000e+00,1.130179e+00,1.396946e+00,1.301786e-02,-1.301786e-02,-1.301786e-02,2.806635e+00
1.300000e-04,1.000000e+00,1.132768e+00,1.383798e+00,1.327675e-02,-1.327675e-02,-1.327675e-02,2.780615e+00
1.310000e-04,1.000000e+00,1.135199e+00,1.370400e+00,1.351987e-02,-1.351987e-02,-1.351987e-02,2.754077e+00
1.320000e-04,1.000000e+00,1.137471e+00,1.356767e+00,1.374712e-02,-1.374712e-02,-1.374712e-02,2.727053e+00
1.330000e-04,1.000000e+00,1.139584e+00,1.342914e+00,1.395843e-02,-1.395843e-02,-1.395843e-02,2.699575e+00
1.340000e-04,1.000000e+00,1.141538e+00,1.328858e+00,1.415376e-02,-1.415376e-02,-1.415376e-02,2.671674e+00
1.350000e-04,1.000000e+00,1.143331e+00,1.314614e+00,1.433306e-02,-1.433306e-02,-1.433306e-02,2.643382e+00
1.360000e-04,1.000000e+00,1.144963e+00,1.300200e+00,1.449632e-02,-1.449632e-02,-1.449632e-02,2.614732e+00
1.370000e-04,1.000000e+00,1.146435e+00,1.285630e+00,1.464353e-02,-1.464353e-02,-1.464353e-02,2.585756e+00
1.380000e-04,1.000000e+00,1.147747e+00,1.270921e+00,1.477472e-02,-1.477472e-02,-1.477472e-02,2.556485e+00
1.390000e-04,1.000000e+00,1.148899e+00,1.256088e+00,1.488990e-02,-1.488990e-02,-1.488990e-02,2.526951e+00
1.400000e-04,1.000000e+00,1.149891e+00,1.241149e+00,1.498912e-02,-1.498912e-02,-1.498912e-02,2.497187e+00
1.410000e-04,1.000000e+00,1.150724e+00,1.226118e+00,1.507245e-02,-1.507245e-02,-1.507245e-02,2.467225e+00
1.420000e-04,1.000000e+00,1.151399e+00,1.211012e+00,1.513995e-02,-1.513995e-02,-1.513995e-02,2.437096e+00
1.430000e-04,1.000000e+00,1.151917e+00,1.195846e+00,1.519172e-02,-1.519172e-02,-1.519172e-02,2.406832e+00
1.440000e-04,1.000000e+00,1.152279e+00,1.180636e+00,1.522786e-02,-1.522786e-02,-1.522786e-02,2.376464e+00
1.450000e-04,1.000000e+00,1.152485e+00,1.165398e+00,1.524850e-02,-1.524850e-02,-1.524850e-02,2.346024e+00
1.460000e-04,1.000000e+00,1.152538e+00,1.150147e+00,1.525376e-02,-1.525376e-02,-1.525376e-02,2.315542e+00
1.470000e-04,1.000000e+00,1.152438e+00,1.134898e+00,1.524379e-02,-1.524379e-02,-1.524379e-02,2.285050e+00
1.480000e-04,1.000000e+00,1.152188e+00,1.119667e+00,1.521876e-02,-1.521876e-02,-1.521876e-02,2.254577e+00
1.490000e-04,1.000000e+00,1.151788e+00,1.104468e+00,1.517884e-02,-1.517884e-02,-1.517884e-02,2.224155e+00
1.500000e-04,1.000000e+00,1.151242e+00,1.089316e+00,1.512422e-02,-1.512422e-02,-1.512422e-02,2.193812e+00
1.510000e-04,1.000000e+00,1.150551e+00,1.074227e+00,1.505509e-02,-1.505509e-02,-1.505509e-02,2.163578e+00
1.520000e-04,1.000000e+00,1.149717e+00,1.059213e+00,1.497168e-02,-1.497168e-02,-1.497168e-02,2.133482e+00
1.530000e-04,1.000000e+00,1.148742e+00,1.044290e+00,1.487420e-02,-1.487420e-02,-1.487420e-02,2.103552e+00
1.540000e-04,1.000000e+00,1.147629e+00,1.029472e+00,1.476290e-02,-1.476290e-02,-1.476290e-02,2.073818e+00
1.550000e-04,1.000000e+00,1.146380e+00,1.014771e+00,1.463802e-02,-1.463802e-02,-1.463802e-02,2.044306e+00
1.560000e-04,1.000000e+00,1.144998e+00,1.000202e+00,1.449981e-02,-1.449981e-02,-1.449981e-02,2.015043e+00
1.570000e-04,1.000000e+00,1.143486e+00,9.857783e-01,1.434856e-02,-1.434856e-02,-1.434856e-02,1.986056e+00
1.580000e-04,1.000000e+00,1.141845e+00,9.715117e-01,1.418454e-02,-1.418454e-02,-1.418454e-02,1.957372e+00
1.590000e-04,1.000000e+00,1.140080e+00,9.574154e-01,1.400804e-02,-1.400804e-02,-1.400804e-02,1.929015e+00
1.600000e-04,1.000000e+00,1.138194e+00,9.435017e-01,1.381936e-02,-1.381936e-02,-1.381936e-02,1.901012e+00
1.610000e-04,1.000000e+00,1.136188e+00,9.297826e-01,1.361882e-02,-1.361882e-02,-1.361882e-02,1.873385e+00
1.620000e-04,1.000000e+00,1.134067e+00,9.162699e-01,1.340671e-02,-1.340671e-02,-1.340671e-02,1.846159e+00
1.630000e-04,1.000000e+00,1.131834e+00,9.029748e-01,1.318339e-02,-1.318339e-02,-1.318339e-02,1.819356e+00
1.640000e-04,1.000000e+00,1.129492e+00,8.899086e-01,1.294916e-02,-1.294916e-02,-1.294916e-02,1.793000e+00
1.650000e-04,1.000000e+00,1.127044e+00,8.770818e-01,1.270439e-02,-1.270439e-02,-1.270439e-02,1.767113e+00
1.660000e-04,1.000000e+00,1.124494e+00,8.645049e-01,1.244942e-02,-1.244942e-02,-1.244942e-02,1.741714e+00
1.670000e-04,1.000000e+00,1.121846e+00,8.521879e-01,1.218459e-02,-1.218459e-02,-1.218459e-02,1.716825e+00
1.680000e-04,1.000000e+00,1.119103e+00,8.401404e-01,1.191028e-02,-1.191028e-02,-1.191028e-02,1.692465e+00
1.690000e-04,1.000000e+00,1.116269e+00,8.283719e-01,1.162685e-02,-1.162685e-02,-1.162685e-02,1.668654e+00
1.700000e-04,1.000000e+00,1.113347e+00,8.168911e-01,1.133468e-02,-1.133468e-02,-1.133468e-02,1.645409e+00
1.710000e-04,1.000000e+00,1.110341e+00,8.057067e-01,1.103413e-02,-1.103413e-02,-1.103413e-02,1.622748e+00
1.720000e-04,1.000000e+00,1.107256e+00,7.948268e-01,1.072560e-02,-1.072560e-02,-1.072560e-02,1.600688e+00
1.730000e-04,1.000000e+00,1.104095e+00,7.842593e-01,1.040947e-02,-1.040947e-02,-1.040947e-02,1.579244e+00
1.740000e-04,1.000000e+00,1.100861e+00,7.740115e-01,1.008613e-02,-1.008613e-02,-1.008613e-02,1.558432e+00
1.750000e-04,1.000000e+00,1.097560e+00,7.640905e-01,9.755966e-03,-9.755966e-03,-9.755966e-03,1.538267e+00
1.760000e-04,1.000000e+00,1.094194e+00,7.545028e-01,9.419385e-03,-9.419385e-03,-9.419385e-03,1.518762e+00
1.770000e-04,1.000000e+00,1.090768e+00,7.452547e-01,9.076783e-03,-9.076783e-03,-9.076783e-03,1.499929e+00
1.780000e-04,1.000000e+00,1.087286e+00,7.363520e-01,8.728560e-03,-8.728560e-03,-8.728560e-03,1.481781e+00
1.790000e-04,1.000000e+00,1.083751e+00,7.278002e-01,8.375118e-03,-8.375118e-03,-8.375118e-03,1.464329e+00
1.800000e-04,1.000000e+00,1.080169e+00,7.196042e-01,8.016860e-03,-8.016860e-03,-8.016860e-03,1.447584e+00
1.810000e-04,1.000000e+00,1.076542e+00,7.117687e-01,7.654191e-03,-7.654191e-03,-7.654191e-03,1.431554e+00
1.820000e-04,1.000000e+00,1.072875e+00,7.042978e-01,7.287516e-03,-7.287516e-03,-7.287516e-03,1.416250e+00
1.830000e-04,1.000000e+00,1.069172e+00,6.971954e-01,6.917239e-03,-6.917239e-03,-6.917239e-03,1.401678e+00
1.840000e-04,1.000000e+00,1.065438e+00,6.904649e-01,6.543764e-03,-6.543764e-03,-6.543764e-03,1.387847e+00
1.850000e-04,1.000000e+00,1.061675e+00,6.841093e-01,6.167495e-03,-6.167495e-03,-6.167495e-03,1.374762e+00
1.860000e-04,1.000000e+00,1.057888e+00,6.781311e-01,5.788833e-03,-5.788833e-03,-5.788833e-03,1.362430e+00
1.870000e-04,1.000000e+00,1.054082e+00,6.725326e-01,5.408180e-03,-5.408180e-03,-5.408180e-03,1.350854e+00
1.880000e-04,1.000000e+00,1.050259e+00,6.673156e-01,5.025934e-03,-5.025934e-03,-5.025934e-03,1.340039e+00
1.890000e-04,1.000000e+00,1.046425e+00,6.624814e-01,4.642490e-03,-4.642490e-03,-4.642490e-03,1.329989e+00
1.900000e-04,1.000000e+00,1.042582e+00,6.580310e-01,4.258242e-03,-4.258242e-03,-4.258242e-03,1.320704e+00
1.910000e-04,1.000000e+00,1.038736e+00,6.539651e-01,3.873581e-03,-3.873581e-03,-3.873581e-03,1.312188e+00
1.920000e-04,1.000000e+00,1.034889e+00,6.502838e-01,3.488894e-03,-3.488894e-03,-3.488894e-03,1.304441e+00
1.930000e-04,1.000000e+00,1.031046e+00,6.469871e-01,3.104562e-03,-3.104562e-03,-3.104562e-03,1.297463e+00
1.940000e-04,1.000000e+00,1.027210e+00,6.440744e-01,2.720965e-03,-2.720965e-03,-2.720965e-03,1.291253e+00
1.950000e-04,1.000000e+00,1.023385e+00,6.415446e-01,2.338477e-03,-2.338477e-03,-2.338477e-03,1.285810e+00
1.960000e-04,1.000000e+00,1.019575e+00,6.393967e-01,1.957468e-03,-1.957468e-03,-1.957468e-03,1.281132e+00
1.970000e-04,1.000000e+00,1.015783e+00,6.376288e-01,1.578302e-03,-1.578302e-03,-1.578302e-03,1.277215e+00
1.980000e-04,1.000000e+00,1.012013e+00,6.362390e-01,1.201338e-03,-1.201338e-03,-1.201338e-03,1.274056e+00
1.990000e-04,1.000000e+00,1.008269e+00,6.352248e-01,8.269281e-04,-8.269281e-04,-8.269281e-04,1.271651e+00
2.000000e-04,1.000000e+00,1.004554e+00,6.345837e-01,4.554206e-04,-4.554206e-04,-4.554206e-04,1.269994e+00
2.010000e-04,1.000000e+00,1.000872e+00,6.343124e-01,8.715577e-05,-8.715577e-05,-8.715577e-05,1.269080e+00
2.020000e-04,1.000000e+00,9.972247e-01,6.344076e-01,-2.775324e-04,2.775324e-04,2.775324e-04,1.268902e+00
2.030000e-04,1.000000e+00,9.936168e-01,6.348655e-01,-6.383166e-04,6.383166e-04,6.383166e-04,1.269453e+00
2.040000e-04,1.000000e+00,9.900512e-01,6.356821e-01,-9.948769e-04,9.948769e-04,9.948769e-04,1.270726e+00
2.050000e-04,1.000000e+00,9.865310e-01,6.368530e-01,-1.346900e-03,1.346900e-03,1.346900e-03,1.272711e+00
2.060000e-04,1.000000e+00,9.830592e-01,6.383735e-01,-1.694082e-03,1.694082e-03,1.694082e-03,1.275400e+00
2.070000e-04,1.000000e+00,9.796387e-01,6.402386e-01,-2.036125e-03,2.036125e-03,2.036125e-03,1.278783e+00
